                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0249,                0.63036,                0.85299,                0.99491,                0.98921,                0.99483,                0.69939,                 1.1038,                0.63912,                0.83643,             0.00031908,             0.00031908,             0.00031908
                     74,                0.96026,                0.59934,                0.84796,                0.99495,                0.99096,                 0.9949,                0.69832,                 1.1077,                0.61446,                0.83526,             0.00030808,             0.00030808,             0.00030808
                     75,                0.96279,                0.58464,                0.85303,                0.99294,                      1,                  0.995,                 0.6959,                 1.1014,                 0.5935,                0.83599,             0.00029708,             0.00029708,             0.00029708
                     76,                  1.006,                0.59457,                0.84844,                0.99585,                0.99895,                  0.995,                0.71164,                 1.0541,                0.57629,                0.82532,             0.00028608,             0.00028608,             0.00028608
                     77,                0.97495,                0.58946,                0.85704,                0.99531,                0.99766,                  0.995,                0.70952,                 1.0626,                0.57866,                0.82429,             0.00027508,             0.00027508,             0.00027508
                     78,                 0.9807,                0.64678,                0.85302,                0.99478,                0.99748,                  0.995,                0.70849,                 1.0701,                 0.5808,                0.82462,             0.00026408,             0.00026408,             0.00026408
                     79,                0.99039,                0.61552,                0.85049,                0.99489,                0.99896,                  0.995,                0.70569,                 1.0728,                0.58133,                0.82566,             0.00025309,             0.00025309,             0.00025309
                     80,                0.96582,                0.59969,                0.84639,                0.99446,                      1,                  0.995,                0.70631,                 1.0749,                 0.5888,                0.82654,             0.00024209,             0.00024209,             0.00024209
                     81,                0.96768,                0.59632,                0.85426,                0.99412,                      1,                  0.995,                 0.7015,                 1.0623,                0.58449,                0.82534,             0.00023109,             0.00023109,             0.00023109
                     82,                0.97456,                0.58426,                  0.863,                0.99467,                      1,                  0.995,                0.70589,                 1.0599,                0.57718,                0.82539,             0.00022009,             0.00022009,             0.00022009
                     83,                0.97591,                0.58622,                 0.8603,                0.99644,                      1,                  0.995,                0.70393,                 1.0732,                0.57084,                0.82726,             0.00020909,             0.00020909,             0.00020909
                     84,                0.95396,                0.59413,                0.84498,                0.99779,                0.99899,                  0.995,                0.69873,                 1.0882,                0.56434,                0.82997,             0.00019809,             0.00019809,             0.00019809
                     85,                0.96129,                0.56337,                0.85151,                0.99733,                0.99858,                  0.995,                0.69868,                 1.0841,                0.56385,                 0.8287,             0.00018709,             0.00018709,             0.00018709
                     86,                0.97653,                0.57663,                0.84816,                 0.9967,                 0.9984,                  0.995,                0.70216,                  1.074,                 0.5632,                0.82717,             0.00017609,             0.00017609,             0.00017609
                     87,                0.96291,                0.57334,                0.85129,                0.99626,                0.99901,                  0.995,                0.69795,                 1.0794,                0.56601,                0.82635,             0.00016509,             0.00016509,             0.00016509
                     88,                0.98219,                0.57989,                0.83765,                0.99698,                      1,                  0.995,                0.70154,                 1.0687,                0.56061,                0.82519,              0.0001541,              0.0001541,              0.0001541
                     89,                0.99614,                0.58527,                0.84058,                0.99751,                      1,                  0.995,                0.70925,                   1.06,                0.55329,                0.82531,              0.0001431,              0.0001431,              0.0001431
                     90,                0.94362,                0.55617,                0.84403,                0.99744,                      1,                  0.995,                0.70548,                 1.0631,                0.55207,                0.82737,              0.0001321,              0.0001321,              0.0001321
